"﻿""Authors""",Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"S.R., Abdul Samad, Saleem Raja; P., Ganesan, Pradeepa; A.S.R., Al-Kaabi, Amna Salim Rashid; J., Rajasekaran, Justin; M., Singaravelan, M.; P.S., Basha, Peerbasha Shebbeer","Abdul Samad, Saleem Raja (58187646200); Ganesan, Pradeepa (57604945500); Al-Kaabi, Amna Salim Rashid (58187858600); Rajasekaran, Justin (58042104600); Singaravelan, M. (59659937000); Basha, Peerbasha Shebbeer (59682858200)",58187646200; 57604945500; 58187858600; 58042104600; 59659937000; 59682858200,Automated Detection of Malevolent Domains in Cyberspace Using Natural Language Processing and Machine Learning,2024,International Journal of Advanced Computer Science and Applications,15,10,,328,341,0,1,10.14569/IJACSA.2024.0151036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000672326&doi=10.14569%2FIJACSA.2024.0151036&partnerID=40&md5=7086f76a6618a44be647944f787a405d,"Cyberattacks are intentional attacks on computer systems, networks, and devices. Malware, phishing, drive-by downloads, and injection are popular cyberattacks that can harm individuals, businesses, and organizations. Most of these attacks trick internet users by using malicious links or webpages. Malicious webpages can be used to distribute malware, steal personal information, conduct phishing attacks, or perform other malicious activities. Detecting such malicious websites is a tedious task for internet users. Therefore, locating such a website in cyberspace requires an automated detection tool. Currently, machine learning techniques are being used to detect such malicious websites. The majority of recent studies derive a limited number of features from webpages (both benign and malicious) and use machine learning (ML) algorithms to detect fraudulent webpages. However, these constrained capabilities might not use the full potential of the dataset. This study addresses this issue by identifying malicious websites using both the URL and webpage content features. To maximize detection accuracy, both ngrams and vectorization methods in natural language processing are adopted with minimum feature-set. To exploit the full potential of the dataset, the proposed approach derives the 22 common linguistic features of the URL and generates ngrams from the domain name of the URL. The textual content of the webpages was also used. The research employs seven machine learning algorithms with three vectorization methods. The outcome reveals that the proposed method outperformed the results of previous studies. © 2025 Elsevier B.V., All rights reserved.",Linguistic Features; Machine Learning; Malicious Webpage; N-gram; Natural Language Processing (nlp); Adversarial Machine Learning; Contrastive Learning; Cyber Attacks; Linguistics; Malware; Natural Language Processing Systems; Websites; Automated Detection; Cyberspaces; Language Processing; Linguistic Features; Machine-learning; Malicious Webpage; N-grams; Natural Language Processing; Natural Languages; Web-page; Phishing,Adversarial machine learning; Contrastive Learning; Cyber attacks; Linguistics; Malware; Natural language processing systems; Websites; Automated detection; Cyberspaces; Language processing; Linguistic features; Machine-learning; Malicious webpage; N-grams; Natural language processing; Natural languages; Web-page; Phishing,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-86000672326
,,,"ICCCMLA 2024 - 6th International Conference on Cybernetics, Cognition and Machine Learning Applications",2024,,,,,,,585,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219513945&partnerID=40&md5=117c5e354567f40623d49df6714d0f23,"The proceedings contain 99 papers. The topics discussed include: application of a genetic technique for selection of the best features and machine learning for malware detection on android; a survey of optimized compiler using advanced machine learning and deep learning techniques; cognitive computing in English language classrooms; a systematic analysis on security and anomaly detection using machine learning in cloud computing; creation of geospatial database farming system using machine learning; optimizing natural language understanding: a comprehensive study of Python’s top libraries; a machine learning approach to dairy farm energy disaggregation; a novel mechanism for identifying malicious and phishing URLs using machine learning classifiers; studying the effectiveness of online college education in India from student feedback; and enhanced liver disease prediction using ensemble learning. © 2025 Elsevier B.V., All rights reserved.",,,Conference review,Final,,Scopus,2-s2.0-85219513945
"D., Hamouda, Djallel; M.A., Ferrag, Mohamed Amine; B., Nadjette, Benhamida; S., Hamid, Seridi","Hamouda, Djallel (57543021700); Ferrag, Mohamed Amine (56115001200); Nadjette, Benhamida (59660659700); Hamid, Seridi (54908192100)",57543021700; 56115001200; 59660659700; 54908192100,Advancing Cybersecurity with LLMs: A Comprehensive Review of Intrusion Detection Systems and Emerging Applications,2024,CEUR Workshop Proceedings,3922,,,70,80,0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219177976&partnerID=40&md5=d733399d8a52ec2907122b83da716571,"The rapid advancements in Transformers and Large Language Models (LLMs) have significantly transformed the landscape of cybersecurity, particularly in Intrusion Detection Systems (IDS). These models offer enhanced detection accuracy, scalability, and adaptability, surpassing traditional approaches in identifying and mitigating sophisticated cyber threats. This survey explores the integration of LLMs in IDS by addressing six key research dimensions: foundational methodologies, comparative performance with classical techniques, challenges in interpretability, practical applications, emerging trends, and directions for future research. By synthesizing the latest advancements, this work aims to provide a comprehensive framework for understanding the role of LLMs in strengthening cybersecurity and fostering innovation in network security and anomaly detection. © 2025 Elsevier B.V., All rights reserved.",Cybersecurity; Intrusion Detection Systems; Large Language Models; Malware Detection; Transformers; Distribution Transformers; Cyber Security; Detection Accuracy; Emerging Applications; Intrusion Detection Systems; Language Model; Large Language Model; Malware Detection; System Applications; Traditional Approachs; Transformer; Network Intrusion,Distribution transformers; Cyber security; Detection accuracy; Emerging applications; Intrusion Detection Systems; Language model; Large language model; Malware detection; System applications; Traditional approachs; Transformer; Network intrusion,Conference paper,Final,,Scopus,2-s2.0-85219177976
,,,CAMLIS 2024 - Proceedings of the Conference on Applied Machine Learning in Information Security,2024,CEUR Workshop Proceedings,3920,,,,,268,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218699172&partnerID=40&md5=7fa95a3056494333fc4c85caeb4b9045,"The proceedings contain 15 papers. The topics discussed include: defending large language models against attacks with residual stream activation analysis; Curl: private LLMs through wavelet-encoded look-up tables; defending against indirect prompt injection attacks with spotlighting; towards autonomous cyber-defense: using co-operative decision making for cybersecurity; applying action masking and curriculum learning techniques to improve data efficiency and overall performance in operational technology cyber security using reinforcement learning; navigating concept drift and packing complexity in malware family classification; DIP-ECOD: improving anomaly detection in multimodal distributions; and binary malware attribution using LLM embeddings and topological data analysis. © 2025 Elsevier B.V., All rights reserved.",,,Conference review,Final,,Scopus,2-s2.0-85218699172
"N.H., Guldemir, Numan Halit; O., Olukoya, Oluwafemi; J., Martinez Del Rincon, Jesus","Guldemir, Numan Halit (59490553400); Olukoya, Oluwafemi (57208391976); Martinez Del Rincon, Jesus (8963448600)",59490553400; 57208391976; 8963448600,Navigating Concept Drift and Packing Complexity in Malware Family Classification,2024,CEUR Workshop Proceedings,3920,,,129,144,0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218428014&partnerID=40&md5=fcfdb1c45951feeed58ab6c67d616d81,"In the rapidly evolving cybersecurity landscape, the classification of malware families presents significant challenges due to the dynamic nature of malware, a phenomenon known as concept drift. This research classifies Windows PE malware families using static analysis of raw opcode sequences. By leveraging Convolutional Neural Networks (CNNs) to extract unique features from these sequences, our approach achieves high classification accuracy rates of 97.93% and 89.55% on the Microsoft Malware Classification Challenge and BODMAS datasets, respectively. We also conducted a temporal analysis on BODMAS over 13 months to observe the evolution of malware families and identify periods where our model's accuracy decreases. We implemented a retraining strategy, allowing us to observe how retraining the model with new data helps it adapt to new malware patterns. The study also examined the impact of packed malware and different types of packers on the model's performance. Our findings indicate that packed malware significantly affects the model's accuracy, with some packers having a more pronounced impact than others. These results underscore the importance of regular model updates and specialized handling of packed malware to maintain robust detection capabilities. © 2025 Elsevier B.V., All rights reserved.",Concept Drift; Malware Family Classification; Packed Malware; Packer; Temporal Analysis; Windows Pe Malware; Concept Drifts; Cyber Security; Malware Families; Malware Family Classification; Malwares; Modeling Accuracy; Packed Malware; Temporal Analysis; Window Pe Malware; Convolutional Neural Networks,Concept drifts; Cyber security; Malware families; Malware family classification; Malwares; Modeling accuracy; Packed malware; Temporal analysis; Window PE malware; Convolutional neural networks,Conference paper,Final,,Scopus,2-s2.0-85218428014
"N., Ross, Nathan; O., Olukoya, Oluwafemi; J.M., del Rincon, Jesus Martínez; D., Carlin, Domhnall","Ross, Nathan (59567508000); Olukoya, Oluwafemi (57208391976); del Rincon, Jesus Martínez (58293336500); Carlin, Domhnall (57195605443)",59567508000; 57208391976; 58293336500; 57195605443,PEVuln: A Benchmark Dataset for Using Machine Learning to Detect Vulnerabilities in PE Malware,2024,CEUR Workshop Proceedings,3920,,,83,113,0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218412023&partnerID=40&md5=eb5863061f5d358ccbfc670c6ce62e90,"In this paper, we present a benchmark dataset for training and evaluating static PE malware machine learning models, specifically for detecting known vulnerabilities in malware. Our goal is to enable further research in defense against malware by exploiting their bugs or weaknesses. After recognising limitations in current malware datasets regarding exploitable malware, our dataset addresses these gaps by utilizing the malware vulnerability database Malvuln, and software vulnerability database ExploitDB to create a new malware dataset with 684 vulnerable malware samples, 35, 241 non-vulnerable malware samples, 1, 425 vulnerable benign samples, and 7, 905 non-vulnerable benign samples, detailed with timestamps, families, threat mapping, vulnerability mapping, and obfuscation analysis. This 4-class dataset lays the foundation for advancing future research in analysis and vulnerability exploitation in malware using machine learning. We also provide baseline results using state-of-the-art models for malware classification to benchmark the performance of the dataset, where the binary tasks achieve F1 scores above 0.90, while the multi-class task attains an F1-Score of 0.958. © 2025 Elsevier B.V., All rights reserved.",Dataset; Machine Learning; Malware; Vulnerabilities; 'current; Benchmark Datasets; Dataset; F1 Scores; Machine Learning Models; Machine-learning; Malwares; Software Vulnerabilities; Vulnerability; Vulnerability Database; Adversarial Machine Learning,'current; Benchmark datasets; Dataset; F1 scores; Machine learning models; Machine-learning; Malwares; Software vulnerabilities; Vulnerability; Vulnerability database; Adversarial machine learning,Conference paper,Final,,Scopus,2-s2.0-85218412023
"M., Mishchenko, Maksym; M., Dorosh, Mariia","Mishchenko, Maksym (59560662400); Dorosh, Mariia (56912183600)",59560662400; 56912183600,Detection of Windows Portable Executable Malware using NLP Techniques and Proxy-server,2024,International Journal of Computing,23,4,,663,672,0,0,10.47839/ijc.23.4.3765,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217952192&doi=10.47839%2Fijc.23.4.3765&partnerID=40&md5=80751d266b3284f53805d8f27831cf41,"This paper aims to investigate the effectiveness of virus detection in Windows Portable Executable file using NLP, machine learning and a computer network proxy. Selected classification performance metrics are the accuracy and F1-score of the virus type classification in a specific file and the average time spent on analyzing the file. To classify viruses, a static analysis of the Optional Header Directories section in PE file is conducted. The list of imported libraries is vectorized using the word2vec model and submitted for classification by the Random Forest Classifier, Support Vector Machine and Multilayer Perceptron models. As a result, the best training mean accuracy of 94% and F1 score of 0.94 for the Random Forest Classifier model is achieved. To determine the effectiveness of virus file detection, a local area network (LAN) of three computers and a proxy server is configured. The conducted experiments on the detection of malicious files with the use of a proxy shows request time of 2.3 seconds for Support Vector Machine, 2.28 seconds for Multilayer Perceptron and 2.6 seconds for Random Forest Classifier. For reducing delay, ssdeep based cache is introduced, which reduces delay to 2.1 seconds for Random Forest Classifier and 2.15 seconds delay for Multilayer Perceptron. The proxy classification F1 score obtained on the evaluation proxy data confirmed and outperformed the F1 score obtained on the training dataset. This gives grounds for asserting the feasibility of using a proxy server and NLP techniques to detect Windows Portable Executable malware. © 2025 Elsevier B.V., All rights reserved.",Cybersecurity; Lan; Machine Learning; Malware; Nlp; Proxy-server; Ssdeep; Windows Portable Executable; Word2vec,,Article,Final,,Scopus,2-s2.0-85217952192
,,,"2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry, IDICAIEI 2024",2024,,,,,,,1328,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217879592&partnerID=40&md5=e2db8828c82affaf1bc253523c104bde,"The proceedings contain 236 papers. The topics discussed include: building a data lake for power BI in the cloud: a review on utilizing cloud storage services for large datasets; design and development of automatic rice transplanter machine; the role of technology in modern education; a review on soil moisture monitoring methods using satellite images; deep learning assisted model for medical image fusion; predicting heart disease: a machine learning approach to cardiac health; a review on the applications of machine learning algorithms for mental stress detection; optimization strategies for cyber threat detection in cloud architectures leveraging deep machine learning for advanced malware identification; mobile app for enhancing accessibility among the visually impaired; and a comprehensive evaluation process by analytical hierarchical process for identification of potential groundwater zones. © 2025 Elsevier B.V., All rights reserved.",,,Conference review,Final,,Scopus,2-s2.0-85217879592
"P., Dobrovodsky, Patrik; R., Fleiner, Rita; E., Kail, Eszter","Dobrovodsky, Patrik (59551985300); Fleiner, Rita (57189001149); Kail, Eszter (57189055035)",59551985300; 57189001149; 57189055035,CNN in Malware Detection,2024,,,,,63,68,0,1,10.1109/CINTI63048.2024.10830884,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217580002&doi=10.1109%2FCINTI63048.2024.10830884&partnerID=40&md5=aaa2e76997b8617e804ac87600b96226,"This article presents a bibliometric analysis and review of the application of Convolutional Neural Networks (CNNs) in malware detection. Over the past decade, there has been a notable increase in research focused on using CNNs for malware classification, as evidenced by the rising number of publications across different years. This study goes beyond a simple literature review by exploring the progression of malware detection techniques that leverage the conversion of malware binaries into grayscale images, from their inception to current advancements. The review covers the evolution of these methods, detailing key findings and achievements. Furthermore, the article compares the results of various studies, specifically those that tested their models on the widely used Malimg dataset. This comparison highlights the effectiveness of each approach, offering insights into the accuracy and performance trends across different CNN-based malware detection frameworks. © 2025 Elsevier B.V., All rights reserved.",Cnn; Malimg; Malware Detection; 'current; Bibliometrics Analysis; Convolutional Neural Network; Gray-scale Images; Literature Reviews; Malimg; Malware Classifications; Malware Detection; Malwares; Simple++; Convolutional Neural Networks,'current; Bibliometrics analysis; Convolutional neural network; Gray-scale images; Literature reviews; Malimg; Malware classifications; Malware detection; Malwares; Simple++; Convolutional neural networks,Conference paper,Final,,Scopus,2-s2.0-85217580002
,,,"2nd International Conference on Computer Vision and Internet of Things, ICCVIoT 2024",2024,IET Conference Proceedings,2024,23,,,,333,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216802750&partnerID=40&md5=dc8baaf92a107d0b4cd6155747241f48,"The proceedings contain 51 papers. The topics discussed include: smart fire extinguishing drone: integration of Raspberry Pi and multi-sensor systems; utilizing windows event logs for malware detection using machine learning; integration of SSID and blockchain technology for advanced knowledge management system; advanced glaucoma detection using CNN models integrated with random forest classifier for enhanced diagnosis; prediction and identification of multiple sclerosis patients from gait features using machine learning algorithms and ensemble methods in embedded sensors environment; a comprehensive analysis on diverse algorithms used for sentiment analysis and classification of twitter data; forecasting traits: human personality prediction with machine learning methodology - a comparative study; and computer-aided diagnosis of psoriasis classification using deep learning techniques. © 2025 Elsevier B.V., All rights reserved.",,,Conference review,Final,,Scopus,2-s2.0-85216802750
"N.C., Edeh, Natasha Cecilia; R., Yatagha, Romarick; O., Mejri, Oumayma; K., Waedt, Karl","Edeh, Natasha Cecilia (57866982200); Yatagha, Romarick (58787979800); Mejri, Oumayma (59529597200); Waedt, Karl (56943519000)",57866982200; 58787979800; 59529597200; 56943519000,Understanding stegomalware in ICS: Attacks and Prevention,2024,"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",352,,,1893,1904,0,1,10.18420/inf2024_164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216127368&doi=10.18420%2Finf2024_164&partnerID=40&md5=82badfc933f548ec3b478d135f7b1715,"This research investigates the growing threat of stego-malware in Industrial Control Systems (ICS), where attackers utilise steganography to embed malicious code covertly. Such attacks pose significant challenges due to their ability to evade traditional detection methods. The study reviews current cybersecurity frameworks and detection techniques, highlighting their strengths and limitations against stegomalware. It explores various detection approaches, including signature-based, anomaly-based, and AI/ML-based methods, assessing their effectiveness within the context of ISO/IEC 27001 and IEC 62443 standards. Case studies such as Havex and Industroyer underscore the real-world impact of stego-malware on ICS infrastructure. The research advocates for enhanced integration of AI and machine learning to bolster steganalysis capabilities, and proposes improvements to existing cybersecurity frameworks to address steganographic threats more effectively. By bridging gaps in current knowledge, this study contributes to advancing cybersecurity measures tailored to protect critical ICS environments against evolving cyber threats. © 2025 Elsevier B.V., All rights reserved.",Ai; Ics; Ml; Steganalysis; Steganography; Stegomalware; Economic And Social Effects; Iso Standards; 'current; Cyber Security; Detection Approach; Detection Methods; Industrial Control Systems; Malicious Codes; Malwares; Ml; Steganalysis; Stegomalware; Cyber Attacks,Economic and social effects; ISO Standards; 'current; Cyber security; Detection approach; Detection methods; Industrial control systems; Malicious codes; Malwares; ML; Steganalysis; Stegomalware; Cyber attacks,Conference paper,Final,,Scopus,2-s2.0-85216127368
"S.A., Deshmukh, Shrutika A.; S.M., Dandage, Sachin M.; P.M., Jawandhiya, Pradip M.","Deshmukh, Shrutika A. (59527332600); Dandage, Sachin M. (59527109300); Jawandhiya, Pradip M. (36600676700)",59527332600; 59527109300; 36600676700,Detection of Malicious Urls Using Machine Learning,2024,,,,,187,195,0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215961904&partnerID=40&md5=80aab26894e1962bcac71fbe1fc2b10b,"Malicious URL, a.k.a. malicious website, is a common and serious threat to cyber security. Malicious URLs host unsolicited content (spam, phishing, drive-by downloads, etc.) and lure unsuspecting users to become victims of scams (monetary loss, theft of private information, and malware installation), and cause losses of billions of dollars every year. It is imperative to detect and act on such threats in a timely manner. Traditionally, this detection is done mostly through the usage of blacklists. However, blacklists cannot be exhaustive, and lack the ability to detect newly generated malicious URLs. To improve the generality of malicious URL detectors, machine learning techniques have been explored with increasing attention in recent years. This article aims to provide a comprehensive survey and a structural understanding of Malicious URL Detection techniques using machine learning. We present the formal formulation of Malicious URL Detection as a machine learning task, and categorize and review the contributions of literature studies that address different dimensions of this problem. © 2025 Elsevier B.V., All rights reserved.",Blacklisted Links; Crawled Data; Ensemble Learners Malicious Urls; Index; Machine Language; Machine Learning; Software Requirements,,Book chapter,Final,,Scopus,2-s2.0-85215961904
"S., Ravindra Babu, S.; R., Leisha, R.; K.J., Medows, Katelyn Jade; K., Sreekumar, Krishna; G.P., Girish, G. P.","Ravindra Babu, S. (59524353300); Leisha, R. (58661118200); Medows, Katelyn Jade (58660587100); Sreekumar, Krishna (58660402700); Girish, G. P. (56962702900)",59524353300; 58661118200; 58660587100; 58660402700; 56962702900,Unveiling Powerful Machine Learning Strategies for Detecting Malware in Modern Digital Environment,2024,Lecture Notes in Networks and Systems,874 LNNS,,,277,286,0,0,10.1007/978-3-031-50887-5_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215805763&doi=10.1007%2F978-3-031-50887-5_28&partnerID=40&md5=d5270f126f7d0e7dd23808699e50f9f1,"Machine learning has emerged as formidable instrument in realm of malware detection exhibiting capacity to dynamically adapt to ever-shifting topography of digital hazards. This study presents an exhaustive comparative analysis of four intricate machine learning algorithms namely XGBoost Classifier, K-Nearest Neighbors (KNN) Classifier, Binomial Logistic Regression and Random Forest with primary objective of assessing their effectiveness in domain of malware detection. Conventional signature-based detection methodologies have struggled to synchronize with rapid mutations exhibited by malware variants. In sharp contrast machine learning algorithms proffer data-centric approach adept at unraveling intricate data patterns thereby enabling identification of both well-known and hitherto uncharted threats. To meticulously appraise efficacy of these machine learning models we employ stringent set of evaluation metrics. Precision, recall, F1 Score, testing accuracy and training accuracy are meticulously scrutinized to ascertain distinctive strengths and frailties of these algorithms. By providing comparative analysis of machine learning algorithms within milieu of malware detection this research engenders significant contribution to ongoing endeavor of fortifying cybersecurity. Resultant analysis elucidates that each algorithm possesses its unique competencies. XGBoost Classifier showcases remarkable precision (Benign files: 99%, Malicious files: 99%), recall (Benign files: 97%, Malicious files: 99%) and F1 Score (Benign files: 98%, Malicious files: 99%) implying its aptitude for precise malware identification. KNN Classifier excels in discerning benign software exhibiting precision (Benign files: 90%) and recall (Benign files: 91%) to mitigate likelihood of erroneous positives. © 2025 Elsevier B.V., All rights reserved.",Binomial Logistic Regression; Knn; Malware; Random Forest; Xgb Classifier; Adversarial Machine Learning; Contrastive Learning; Malware; Nearest Neighbor Search; Random Forests; Binomial Logistic Regressions; Comparative Analyzes; K-near Neighbor; Machine Learning Algorithms; Machine-learning; Malware Detection; Malwares; Nearest-neighbour; Xgb Classifier; Logistic Regression,Adversarial machine learning; Contrastive Learning; Malware; Nearest neighbor search; Random forests; Binomial logistic regressions; Comparative analyzes; K-near neighbor; Machine learning algorithms; Machine-learning; Malware detection; Malwares; Nearest-neighbour; XGB classifier; Logistic regression,Conference paper,Final,,Scopus,2-s2.0-85215805763
"M., Choroma, Marayi; D., Ahmat, Daouda; B., Abbo, Bakari","Choroma, Marayi (59221592700); Ahmat, Daouda (55315386400); Abbo, Bakari (55673982600)",59221592700; 55315386400; 55673982600,Toward Intelligent Tracking Down of Malicious Applications Pre-installed on Smartphones Sold in African Emerging Markets,2024,Lecture Notes in Networks and Systems,1112 LNNS,,,605,615,0,0,10.1007/978-981-97-6684-0_49,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215707581&doi=10.1007%2F978-981-97-6684-0_49&partnerID=40&md5=ba5124d6b2e5b88545a71ab66a92ad44,"This paper focuses on the behavior of pre-installed software on Android smartphones sold in emerging markets in Africa. The paper analyzes 1498 applications pre-installed on a number of low-cost smartphones on sale in African markets. The static analysis, based on the Mobile Security Framework (MoBSF) platform, reveals serious risks for users of these smartphones. These risks include excessive permission requests to the operating system, triggered vulnerabilities as well as network security issues. Many of the applications analyzed present no or only benign risks, while a few present serious threats that require further investigation. The analysis carried out on mobile applications by MoBSF has made it possible to extract suspicious features from potentially malicious applications. © 2025 Elsevier B.V., All rights reserved.",Analysis; Android; Behavior; Dl; Malware; Ml; Mobsf; Pre-installed Apps; Android Malware; Analyze; Android; Behavior; Dl; Malwares; Ml; Mobile Security Framework; Pre-installed App; Security Frameworks; Smart Phones; Mobile Applications,Android malware; Analyze; Android; Behavior; DL; Malwares; ML; Mobile security framework; Pre-installed app; Security frameworks; Smart phones; Mobile applications,Conference paper,Final,,Scopus,2-s2.0-85215707581
"S.A., Ali, Shaikha Al; A., Suleiman, Ali; G., Hallal, Ghina; S., Alseiari, Sultan; Y., Ma, Yiguang; S., Dhou, Salam; F.A., Aloul, Fadi A.","Ali, Shaikha Al (59523303100); Suleiman, Ali (59523416900); Hallal, Ghina (59522744500); Alseiari, Sultan (59522744600); Ma, Yiguang (59523303200); Dhou, Salam (55560381000); Aloul, Fadi A. (6601962378)",59523303100; 59523416900; 59522744500; 59522744600; 59523303200; 55560381000; 6601962378,Android Malware Detection Using Machine Learning,2024,,,,,79,84,0,1,10.1109/IoTaIS64014.2024.10799339,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215682175&doi=10.1109%2FIoTaIS64014.2024.10799339&partnerID=40&md5=a74367baf519b7071b14e06206d146f5,"Malware, or malicious software, poses a significant threat to systems and networks. Malware attacks are becoming extremely sophisticated, and the ability to detect and prevent them is becoming more challenging. Detecting and preventing malware is crucial for several reasons, including the security of personal information, data loss and tampering, system disruptions, financial losses, and reputation damage. This paper presents a machine learning approach for Android malware detection. In this work, several machine learning algorithms were utilized, namely k-Nearest neighbor (KNN), Decision Trees (DT), Naive Bayes (NB), Support Vector Machine (SVM) and other ensemble classifiers including Extreme Gradient Boosting (XGBoost), Light Gradient Boosting Machine (LGBM) and CatBoost. It was found that SVM using radial basis function (RBF) kernel achieved the highest performance with an accuracy of 99.5%. This work proved the feasibility of using machine learning in detecting malware and improving the security of mobile devices. The results of this work can be used to build more robust systems to protect devices and networks from malicious attacks. © 2025 Elsevier B.V., All rights reserved.",Android; Cybersecurity; Goodware; Machine Learning; Malware Detection; Android Malware; Radial Basis Function Networks; Android; Cyber Security; Goodware; Gradient Boosting; Machine-learning; Malware Attacks; Malware Detection; Malwares; Support Vectors Machine; Adversarial Machine Learning,Android malware; Radial basis function networks; Android; Cyber security; Goodware; Gradient boosting; Machine-learning; Malware attacks; Malware detection; Malwares; Support vectors machine; Adversarial machine learning,Conference paper,Final,,Scopus,2-s2.0-85215682175
"M., Abdelgawad, Mohammed; P.W.C., Prasad, P. W.C.","Abdelgawad, Mohammed (59523590900); Prasad, P. W.C. (59523366500)",59523590900; 59523366500,"Advanced Persistent Threats—Techniques, Detection and Defences",2024,Lecture Notes in Electrical Engineering,117 LNEE,,,143,167,0,0,10.1007/978-3-031-71773-4_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215660035&doi=10.1007%2F978-3-031-71773-4_10&partnerID=40&md5=43acb68fd6d9af78384b2597435d6fe1,"Advanced Persistent Threats (APTs) are the most concerning challenge in today’s cybersecurity landscape, which is increasing rapidly. APTs are sophisticated, covert and typically launched by highly skilled attackers, who are typically sponsored by governments or criminal organisations. The objectives of such attackers may vary, but they predominantly conduct their attacks to steal information or disrupt operations over an extended period of time. The consequences of APT attacks usually include severe financial losses and reputational damage, which impacts the targeted entities as well as their stakeholders. One of the characteristics of APTs is the usage of advanced techniques, such as sophisticated malware, social engineering, and exploitation of undiscovered vulnerabilities (zero-days). All these characteristics make the detection of an APT attack a difficult task. Hence, We conducted a systematic literature review (SLR) on the recent APT-related research papers to evaluate the existing APT detection and defence techniques, as well as their efficiency and limitations. The SLR also examined the feasibility of using new technologies such as Artificial Intelligence (AI), Machine Learning (ML) and Deep Learning (DL) to detect and predict APTs at early stages. We have found that there are gaps and contradictions in the experiment results of different researchers, which will be discussed later. © 2025 Elsevier B.V., All rights reserved.",Advanced Persistent Threats (apt); Artificial Intelligence (ai); Deep Learning (dl); Defences; Detection; Machine Learning (ml); Malware; Techniques; Contrastive Learning; Deep Learning; Economic And Social Effects; Zero-day Attack; Advanced Persistent Threat; Artificial Intelligence; Defense; Detection; Machine Learning; Machine-learning; Malwares; Systematic Literature Review; Technique; Adversarial Machine Learning,Contrastive Learning; Deep learning; Economic and social effects; Zero-day attack; Advanced persistent threat; Artificial intelligence; Defense; Detection; Machine learning; Machine-learning; Malwares; Systematic literature review; Technique; Adversarial machine learning,Conference paper,Final,,Scopus,2-s2.0-85215660035
"B., Luck, Benjamin; P.W.C., Prasad, Penatiyana W.Chandana","Luck, Benjamin (59522805500); Prasad, Penatiyana W.Chandana (57215215975)",59522805500; 57215215975,Analysis and Detection of IoT Botnets Using Machine Learning,2024,Lecture Notes in Electrical Engineering,117 LNEE,,,385,394,0,0,10.1007/978-3-031-71773-4_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215657707&doi=10.1007%2F978-3-031-71773-4_23&partnerID=40&md5=2071ce6fa5e1b0be350493be83e083d3,"Botnets have become a common tool for cybercriminals to launch cyberattacks against organisations and individuals for monetary gain from zombie computers controlled by a central command and control system. Cyber security systems must be able to analyse and detect botnets to prevent harm to information systems. Traditional methods to analyse and detect botnet behaviour and attacks are not well suited to IoT devices, often too heavy on resources on a resource-limited IoT device. Further, detection has been made a critical issue of cyber security as cybercriminals are now targeting the growing and security vulnerable IoT infrastructure. Using pre-trained machine learning architectures as an alternative for botnet detection to overcome security shortcomings on IoT devices has become a viable option. In this review of the current research literature about the analysis and detection of IoT botnets using machine learning, several options are put forward with different datasets, feature selection techniques, machine learning algorithms and post-result processing methods to produce high accuracy, precision and recall rates for the detection of IoT botnets. From reviewing these different approaches, specific feature selection techniques and machine learning algorithms stand out as promising candidates for future research and applications in real-world environments for IoT botnet detection. © 2025 Elsevier B.V., All rights reserved.",Artificial Intelligence; Botnet; Classifier; Dataset; Detection; Feature Selection; Game Theory; Iot; Machine Learning; Malware; Adversarial Machine Learning; Botnet; Cyber Attacks; Feature Selection; Malware; Network Security; Botnet Detections; Botnets; Cyber Security; Cybercriminals; Dataset; Detection; Features Selection; Iot; Machine-learning; Malwares; Bot (internet),Adversarial machine learning; Botnet; Cyber attacks; Feature Selection; Malware; Network security; Botnet detections; Botnets; Cyber security; Cybercriminals; Dataset; Detection; Features selection; IoT; Machine-learning; Malwares; Bot (Internet),Conference paper,Final,,Scopus,2-s2.0-85215657707
