"Title","Authors","Year","Abstract","Link","Cited_By","Top_Domains","Top_Methodologies","Top_Techniques"
"Robustness analysis of CPPS against malware attacks under malware incubation and attack–defense confrontation","Zhang J.; Tu H.; Xia Y.; Yang X.; Zhu Y.","2025","The integration of advanced technologies in Cyber-Physical Power System (CPPS) has increased the vulnerability to cyber threats. Consequently, many network science-based studies have sought to analyze the robustness of CPPS against Advanced Persistent Threats (APTs). Compared with previous studies, our framework incorporates the malware incubation period, incomplete attacker information, coupling patterns, and reconnaissance-evasion behavior, thereby covering a broader spectrum of scenarios. Bas...","10.1016/j.ress.2025.111417","0","Resource Allocation","",""
"Identifying and fixing vulnerabilities in mobile application using machine learning","Azhagu C.; Princess P.","2025","The rise of mobile internet apps, particularly on Android, raises concerns about security vulnerabilities. This research delves into Android security, acknowledging its susceptibility to malicious attacks due to unrestricted third-party app installations. It explores various security strategies, including artificial intelligence integration, dynamic and static analysis, to mitigate malware risks. Analytical models utilizing data science emerge as effective tools in cybersecurity. Static analysis...","10.1063/5.0269581","0","Deep Learning Techniques; IoT Security","","Static Analysis; Dynamic Analysis; Pruning Techniques"
"Trandroid: An Android Mobile Threat Detection System Using Transformer Neural Networks","Kacem T.; Tossou S.","2025","In recent years, Android malware have been evolving and becoming more sophisticated at an alarming rate, highlighting the need for robust and evolving detection schemes. Despite the popularity of artificial intelligence-based approaches, they still struggle to generalize for various reasons. For instance, due to the reliance on handcrafted features for the machine learning approaches and the dependence on static datasets for the case of deep learning. In this paper, we bridge this gap by proposi...","10.3390/electronics14061230","0","","","Feature Extraction; Recurrent Neural Networks; Convolutional Neural Networks"
"Implementation of Malware Detection Using SVM-based Deep Learning Approach","Balasubramanian S.M.; Myviliselvi P.V.; Palanisamy S.","2025","In the realm of analyzing malware, effectively categorizing malicious files is a critical step once malware detection has taken place. There have been numerous documented techniques involving both static and dynamic methods for this purpose. In our research, we are presenting a robust approach to malware classification known as Deep Learning for Malware Detection (DLMD). Our research approach predominantly centres on static techniques and is oriented towards a systematic categorization of divers...","10.1063/5.0262181","0","","","Malware Classification; Convolutional Neural Networks; Pattern Recognition; Feature Engineering"
"APIARY: An API-based automatic rule generator for yara to enhance malware detection","Coscia A.; Lorusso R.; Maci A.; Urbano G.","2025","Cyber threats, primarily malware, have increased with rapid technological advancements in various fields. This growing complexity requires sophisticated and automated malware detection tools because traditional methods cannot keep up with the sheer volume of threats and their evolution. Detection mechanisms that are resilient against evolved malware behaviors, which are typically described by application programming interface (API) functions, are essential for real-time system protection. This p...","10.1016/j.cose.2025.104397","0","","",""
"AppPoet: Large language model based android malware detection via multi-view prompt engineering","Zhao W.; Wu J.; Meng Z.","2025","Due to the vast array of Android applications, their multifarious functions and intricate behavioral semantics, attackers can adopt various tactics to conceal their genuine attack intentions within legitimate functions. However, numerous learning-based methods suffer from a limitation in mining behavioral semantic information, thus impeding the accuracy and efficiency of Android malware detection. Besides, the majority of existing learning-based methods are weakly interpretive and fail to furnis...","10.1016/j.eswa.2024.125546","7","Behavioral Analytics","",""
"Investigation of Malware Redline Stealer using Static and Dynamic Analysis Method Forensic","Widiyasono N.; Selamat S.R.; Sinjaya A.; Rianto; Rizal R.; Praseptiawan M.","2025","Redline Stealer is a malware variant discovered in early March 2020 by proof point analyst. Redline is famous for its ability to bypass the antivirus scan. Redline Stealer was created by hacker with the purpose to steal victim's information such as login data, password and credit card information from the browser application that used in infected computer. This research uses static and dynamic methods to analyze redline stealers. The process of static analysis is carried out by observing the mal...","10.37934/araset.48.2.4962","1","","","Static Analysis; Dynamic Analysis; IRC Analysis; WMI Analysis"
"Android Ransomware Detection by Deep Learning","Rais N.S.B.A.; Foozy C.F.M.; Maslan A.","2025","This research proposes a novel deep learning-based detection model to combat the growing menace of Android ransomware. Deep learning models can learn complex features and training models with many convolutional layers and millions of parameters, leading to overfitting in a few numbers of epochs. As shown by previous works, current methods for Android malware detection are constrained by insufficient feature sets and preprocessing methods. Combining static and dynamic information for a more thoro...","10.30880/jscdm.2025.06.01.025","0","","","Recurrent Neural Networks; Edge Detection"
"A Deep Learning Approach for Malware Detection in IoT Binaries Using Spatial and Temporal Patterns","Nandish M.; Kumar J.","2025","The proliferation of malware in the Internet of Things (IoT) environment poses significant challenges to IoT security due to the heterogeneity and resource constraints of IoT devices. Traditional malware detection methods, which rely heavily on individual features, static analysis, and raw byte sequences, suffer from performance limitations and are not effective against evolving threats. The proposed work introduces a novel deep learning-based malware detection model that integrates Convolutiona...","10.1002/itl2.70032","0","IoT Security","","Similarity Analysis; Static Analysis; Convolutional Neural Networks"
"Research on Malicious Code Detection Based on Feature Analysis","Yang T.; Wang H.; Ma Z.","2025","Malicious attackers often implant malicious software into the software used by victims. On the Internet, new malware continues to be shared, and its types and means of destruction vary. Upon the discovery of novel malware, one feasible strategy entails examining previous instances of comparable malware and attempting to employ existing malware countermeasures against the new threat. Nonetheless, managing the malicious nature and similarity across all software poses a significant challenge. Given...","10.1145/3732365.3732423","0","","","Edge Detection"
